text,category_1,category_2
problem-solving,good sisu,Spiritual
leadership,good sisu,Spiritual
humility,good sisu,Spiritual
Discipline,good sisu,Spiritual
Moving Forward,good sisu,Spiritual
Mind,good sisu,Spiritual
self-motivation,good sisu,Spiritual
passion,good sisu,Spiritual
Wise,good sisu,Spiritual
Kindness,good sisu,Relationship
independent,good sisu,Spiritual
peace,good sisu,Spiritual
Gratitude,good sisu,Spiritual
enthusiasm,good sisu,Spiritual
hope,good sisu,Spiritual
hospitality,good sisu,Spiritual
optimistic,good sisu,Spiritual
Patient,good sisu,Spiritual
self-improvement,good sisu,Spiritual
personal-development,good sisu,Spiritual
self-awareness,good sisu,Spiritual
spiritual,good sisu,Spiritual
trust,good sisu,Spiritual
yourself,good sisu,Spiritual
victory,good sisu,Spiritual
gut-feelings,good sisu,Spiritual
gut-awareness,good sisu,Spiritual
gut-instincts,good sisu,Spiritual
self-esteem,good sisu,Spiritual
self-reflection,good sisu,Spiritual
perspective,good sisu,Spiritual
courage,good sisu,Relationship
answerable,good sisu,Relationship
reporting,good sisu,Relationship
responsible,good sisu,Relationship
obeying,good sisu,Relationship
subject,good sisu,Relationship
bound by,good sisu,Relationship
bound to obey,good sisu,Relationship
under the charge of,good sisu,Relationship
live,good sisu,Spiritual
exist,good sisu,Spiritual
endure,good sisu,Spiritual
prevail,good sisu,Spiritual
subsist,good sisu,Spiritual
persist,good sisu,Spiritual
be,good sisu,Spiritual
last,good sisu,Spiritual
remain,good sisu,Spiritual
fight for your life,good sisu,Spiritual
live on,good sisu,Spiritual
remain alive,good sisu,Spiritual
stay alive,good sisu,Spiritual
sustain oneself,good sisu,Spiritual
cling to life,good sisu,Spiritual
have life,good sisu,Spiritual
be alive,good sisu,Spiritual
be animate,good sisu,Spiritual
be in this world,good sisu,Spiritual
carry on,good sisu,Spiritual
walk the earth,good sisu,Spiritual
be extant,good sisu,Spiritual
draw breath,good sisu,Spiritual
have being,good sisu,Spiritual
stay around,good sisu,Spiritual
sustain life,good sisu,Spiritual
be in the land of the living,good sisu,Spiritual
cheat death,good sisu,Spiritual
escape death,good sisu,Spiritual
evade death,good sisu,Spiritual
hold on,good sisu,Spiritual
hold out,good sisu,Spiritual
keep afloat,good sisu,Spiritual
make it,good sisu,Spiritual
keep body and soul together,good sisu,Spiritual
keep your head above water,good sisu,Spiritual
existence,good sisu,Spiritual
viability,good sisu,Spiritual
being,good sisu,Spiritual
persistence,good sisu,Spiritual
staying alive,good sisu,Spiritual
subsistence,good sisu,Spiritual
being alive,good sisu,Spiritual
life span,good sisu,Spiritual
continued existence,good sisu,Spiritual
holding on to life,good sisu,Spiritual
life,good sisu,Spiritual
continuance,good sisu,Spiritual
essence,good sisu,Spiritual
animation,good sisu,Spiritual
presence,good sisu,Spiritual
breath,good sisu,Spiritual
consciousness,good sisu,Spiritual
sentience,good sisu,Spiritual
personage,good sisu,Spiritual
aliveness,good sisu,Spiritual
animateness,good sisu,Spiritual
creation,good sisu,Spiritual
growth,good sisu,Spiritual
actuality,good sisu,Spiritual
reality,good sisu,Spiritual
continuation,good sisu,Spiritual
corporality,good sisu,Spiritual
corporeality,good sisu,Spiritual
fact,good sisu,Spiritual
personhood,good sisu,Spiritual
beinghood,good sisu,Spiritual
living,good sisu,Spiritual
existing,good sisu,Spiritual
perseverance,good sisu,Spiritual
permanence,good sisu,Spiritual
journey,good sisu,Spiritual
esse,good sisu,Spiritual
quiddity,good sisu,Spiritual
individuality,good sisu,Spiritual
thingness,good sisu,Spiritual
continued survival,good sisu,Spiritual
impalpable,good sisu,Spiritual
imperceptible,good sisu,Spiritual
indistinguishable,good sisu,Spiritual
slight,good sisu,Spiritual
minute,good sisu,Spiritual
undetectable,good sisu,Spiritual
small,good sisu,Spiritual
fine,good sisu,Spiritual
inappreciable,good sisu,Spiritual
indiscernible,good sisu,Spiritual
unnoticeable,good sisu,Spiritual
indistinct,good sisu,Spiritual
faint,good sisu,Spiritual
unapparent,good sisu,Spiritual
inconspicuous,good sisu,Spiritual
indefinite,good sisu,Spiritual
vague,good sisu,Spiritual
unperceivable,good sisu,Spiritual
imperceivable,good sisu,Spiritual
illusive,good sisu,Spiritual
tenuous,good sisu,Spiritual
elusive,good sisu,Spiritual
implied,good sisu,Spiritual
sheer,good sisu,Spiritual
undistinguishable,good sisu,Spiritual
attenuate,good sisu,Spiritual
ethereal,good sisu,Spiritual
inferred,good sisu,Spiritual
attenuated,good sisu,Spiritual
thin,good sisu,Spiritual
barely visible,good sisu,Spiritual
hard to make out,good sisu,Spiritual
dedication,good sisu,Spiritual
determination,good sisu,Spiritual
diligence,good sisu,Spiritual
persistence,good sisu,Spiritual
resoluteness,good sisu,Spiritual
resolve,good sisu,Spiritual
application,good sisu,Spiritual
commitment,good sisu,Spiritual
devotion,good sisu,Spiritual
doggedness,good sisu,Spiritual
drive,good sisu,Spiritual
obstinacy,good sisu,Spiritual
pertinacity,good sisu,Spiritual
purposefulness,good sisu,Spiritual
resolution,good sisu,Spiritual
steadfastness,good sisu,Spiritual
tenacity,good sisu,Spiritual
assiduity,good sisu,Spiritual
assiduousness,good sisu,Spiritual
endurance,good sisu,Spiritual
grit,good sisu,Spiritual
indefatigability,good sisu,Spiritual
sedulity,good sisu,Spiritual
sedulousness,good sisu,Spiritual
stamina,good sisu,Spiritual
constancy,good sisu,Spiritual
continuance,good sisu,Spiritual
intransigence,good sisu,Spiritual
patience,good sisu,Spiritual
perseveration,good sisu,Spiritual
purpose,good sisu,Spiritual
stubbornness,good sisu,Spiritual
tirelessness,good sisu,Spiritual
backbone,good sisu,Spiritual
guts,good sisu,Spiritual
immovability,good sisu,Spiritual
insistence,good sisu,Spiritual
moxie,good sisu,Spiritual
pluck,good sisu,Spiritual
spunk,good sisu,Spiritual
stickability,good sisu,Spiritual
pursuance,good sisu,Spiritual
Sitzfleisch,good sisu,Spiritual
firmness of purpose,good sisu,Spiritual
staying power,good sisu,Spiritual
stick-to-itiveness,good sisu,Spiritual
stick-to-it-iveness,good sisu,Spiritual
firmness,good sisu,Spiritual
obduracy,good sisu,Spiritual
relentlessness,good sisu,Spiritual
fortitude,good sisu,Spiritual
indomitability,good sisu,Spiritual
obdurateness,good sisu,Spiritual
inflexibility,good sisu,Spiritual
bullheadedness,good sisu,Spiritual
mulishness,good sisu,Spiritual
single-mindedness,good sisu,Spiritual
pigheadedness,good sisu,Spiritual
contumacy,good sisu,Spiritual
implacability,good sisu,Spiritual
inexorability,good sisu,Spiritual
inexorableness,good sisu,Spiritual
earnestness,good sisu,Spiritual
intransigency,good sisu,Spiritual
rigidity,good sisu,Spiritual
adamancy,good sisu,Spiritual
grimness,good sisu,Spiritual
steadiness,good sisu,Spiritual
inflexibleness,good sisu,Spiritual
courage,good sisu,Spiritual
toughness,good sisu,Spiritual
implacableness,good sisu,Spiritual
